timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-10-27,86229.02897500,91098.94438500,86015.77115500,90087.35710500,13052.15000000,13789.29000000,13019.87000000,13636.17000000,80796.55399600,80796.55399600
2020-10-26,86080.31666000,87462.19826500,84331.97250000,86229.29323500,13029.64000000,13238.81000000,12765.00000000,13052.19000000,60951.67298600,60951.67298600
2020-10-25,86622.64424500,88196.77500000,85144.57200000,86074.96539500,13111.73000000,13350.00000000,12888.00000000,13028.83000000,38481.57950400,38481.57950400
2020-10-24,85376.19589000,86986.00174500,85025.65500000,86622.64424500,12923.06000000,13166.73000000,12870.00000000,13111.73000000,35952.20907000,35952.20907000
2020-10-23,85678.64146000,86067.43398500,84035.20852000,85376.26195500,12968.84000000,13027.69000000,12720.08000000,12923.07000000,50386.99984100,50386.99984100
2020-10-22,84436.02487500,87106.70250000,83757.73552000,85676.52738000,12780.75000000,13185.00000000,12678.08000000,12968.52000000,70038.82414400,70038.82414400
2020-10-21,78683.41500000,87322.60292000,78531.13517500,84437.41224000,11910.00000000,13217.68000000,11886.95000000,12780.96000000,114584.45676700,114584.45676700
2020-10-20,77636.02049000,79531.55747000,77147.99833500,78683.34893500,11751.46000000,12038.38000000,11677.59000000,11909.99000000,62134.75066300,62134.75066300
2020-10-19,75995.49441000,78115.18993500,75366.68774000,77636.08655500,11503.14000000,11823.99000000,11407.96000000,11751.47000000,47414.53469200,47414.53469200
2020-10-18,75051.88801500,76007.78250000,74958.80243000,75995.49441000,11360.31000000,11505.00000000,11346.22000000,11503.14000000,23284.04119100,23284.04119100
2020-10-17,74780.55906000,75330.08773000,74356.15750000,75051.16130000,11319.24000000,11402.42000000,11255.00000000,11360.20000000,22368.91524100,22368.91524100
2020-10-16,76008.64134500,76246.60747500,73992.80000000,74781.08758000,11505.13000000,11541.15000000,11200.00000000,11319.32000000,48797.74950200,48797.74950200
2020-10-15,75432.29028500,76749.95671000,74328.60839500,76008.57528000,11417.89000000,11617.34000000,11250.83000000,11505.12000000,48760.71767900,48760.71767900
2020-10-14,75449.99570500,76291.72987000,74521.32000000,75432.29028500,11420.57000000,11547.98000000,11280.00000000,11417.89000000,41415.10601500,41415.10601500
2020-10-13,76161.31756000,76351.32050000,74653.45000000,75449.92964000,11528.24000000,11557.00000000,11300.00000000,11420.56000000,42205.28370900,42205.28370900
2020-10-12,75109.43063000,77428.24606500,73807.81800000,76161.38362500,11369.02000000,11720.01000000,11172.00000000,11528.25000000,52825.28371000,52825.28371000
2020-10-11,74608.65793000,75611.39250000,74131.53650000,75109.43063000,11293.22000000,11445.00000000,11221.00000000,11369.02000000,29043.85133900,29043.85133900
2020-10-10,73006.05316000,75915.29150000,73005.19431500,74608.65793000,11050.64000000,11491.00000000,11050.51000000,11293.22000000,43648.03694300,43648.03694300
2020-10-09,72178.91936000,73362.80416000,71541.78850000,73006.05316000,10925.44000000,11104.64000000,10829.00000000,11050.64000000,48240.07323700,48240.07323700
2020-10-08,70467.57160000,72341.17500000,69569.15366500,72179.77820500,10666.40000000,10950.00000000,10530.41000000,10925.57000000,51959.69157200,51959.69157200
2020-10-07,70026.58772500,70569.77415500,69673.27210500,70467.50553500,10599.65000000,10681.87000000,10546.17000000,10666.39000000,32811.99027900,32811.99027900
2020-10-06,71298.66930000,71350.20000000,69533.41250000,70026.65379000,10792.20000000,10800.00000000,10525.00000000,10599.66000000,48674.74047100,48674.74047100
2020-10-05,70469.02503000,71336.98700000,70132.22566000,71298.73536500,10666.62000000,10798.00000000,10615.64000000,10792.21000000,34025.76165300,34025.76165300
2020-10-04,69646.18545500,70668.87165500,69486.30815500,70469.09109500,10542.07000000,10696.87000000,10517.87000000,10666.63000000,23212.00159500,23212.00159500
2020-10-03,69833.34760000,70052.41914000,69344.86299000,69646.11939000,10570.40000000,10603.56000000,10496.46000000,10542.06000000,22298.22134100,22298.22134100
2020-10-02,70155.28234500,70455.94416000,68535.83100000,69833.34760000,10619.13000000,10664.64000000,10374.00000000,10570.40000000,50130.39370500,50130.39370500
2020-10-01,71195.54183500,72142.98000000,68952.04050000,70155.28234500,10776.59000000,10920.00000000,10437.00000000,10619.13000000,60866.33289300,60866.33289300
2020-09-30,71618.29177000,71676.16471000,70459.18134500,71195.54183500,10840.58000000,10849.34000000,10665.13000000,10776.59000000,39596.02732200,39596.02732200
2020-09-29,70663.85071500,71796.40301000,70265.87515500,71617.63112000,10696.11000000,10867.54000000,10635.87000000,10840.48000000,41874.89839900,41874.89839900
2020-09-28,71180.14869000,72341.17500000,70200.66900000,70663.91678000,10774.26000000,10950.00000000,10626.00000000,10696.12000000,50095.25173400,50095.25173400
2020-09-27,70878.42983500,71343.59350000,69994.67833000,71180.08262500,10728.59000000,10799.00000000,10594.82000000,10774.25000000,30549.48325300,30549.48325300
2020-09-26,70600.82470500,71488.54011000,70324.07842000,70878.49590000,10686.57000000,10820.94000000,10644.68000000,10728.60000000,28420.83665900,28420.83665900
2020-09-25,70929.56414500,71089.44144500,69739.79956000,70601.48535500,10736.33000000,10760.53000000,10556.24000000,10686.67000000,48101.11700800,48101.11700800
2020-09-24,67660.20549000,71318.75306000,67326.37904500,70929.49808000,10241.46000000,10795.24000000,10190.93000000,10736.32000000,57676.61942700,57676.61942700
2020-09-23,69563.86846500,69613.68147500,66968.90133000,67660.20549000,10529.61000000,10537.15000000,10136.82000000,10241.46000000,51876.56807900,51876.56807900
2020-09-22,68821.36393000,69848.60861500,68397.09450000,69563.86846500,10417.22000000,10572.71000000,10353.00000000,10529.61000000,43991.23547600,43991.23547600
2020-09-21,72144.82982000,72597.90359000,68022.83627500,68821.36393000,10920.28000000,10988.86000000,10296.35000000,10417.22000000,70683.43117900,70683.43117900
2020-09-20,73204.24816000,73204.24816000,70841.49950000,72144.82982000,11080.64000000,11080.64000000,10723.00000000,10920.28000000,39157.92256500,39157.92256500
2020-09-19,72231.50710000,73859.28263500,71927.40990500,73204.31422500,10933.40000000,11179.79000000,10887.37000000,11080.65000000,38440.03685800,38440.03685800
2020-09-18,72275.11000000,72922.74519500,71435.02746000,72231.44103500,10940.00000000,11038.03000000,10812.84000000,10933.39000000,47266.72827500,47266.72827500
2020-09-17,72367.66706500,72971.83149000,70992.32589500,72275.04393500,10954.01000000,11045.46000000,10745.83000000,10939.99000000,55601.61452900,55601.61452900
2020-09-16,71252.62199500,73285.90450000,70433.34993000,72367.66706500,10785.23000000,11093.00000000,10661.22000000,10954.01000000,64991.51244000,64991.51244000
2020-09-15,70503.04850500,72209.30926000,70071.71012000,71253.15051500,10671.77000000,10930.04000000,10606.48000000,10785.31000000,61822.45278600,61822.45278600
2020-09-14,68263.90746000,71019.87500000,67467.82421000,70503.04850500,10332.84000000,10750.00000000,10212.34000000,10671.77000000,67059.29136100,67059.29136100
2020-09-13,68976.28635500,69897.49671500,67386.30000000,68263.84139500,10440.67000000,10580.11000000,10200.00000000,10332.83000000,43837.60986500,43837.60986500
2020-09-12,68627.59528500,69222.70880500,67843.80012500,68977.93798000,10387.89000000,10477.97000000,10269.25000000,10440.92000000,35379.15309600,35379.15309600
